sample,cluster_expression_kmeans
CoV-3-Wilk_RNA,0
CoV-34-Aruna_RNA,0
CoV-36-Aruna_RNA,3
CoV-4-Wilk_RNA,3
HD-1-Wilk_RNA,2
HD-20-Aruna_RNA,3
HD-21-Aruna_RNA,3
HD-4-Wilk_RNA,1
SRR14466462_ATAC,0
SRR14466463_ATAC,3
SRR14466464_ATAC,3
SRR14466470_ATAC,3
SRR14466474_ATAC,3
SRR14466475_ATAC,0
SRR14466481_ATAC,3
re_SRR14466469_ATAC,3
